Series,Country,Confirmed,Recovered,Deaths,Active
173,US,1257023,195036,75662,986325
177,United Kingdom,207977,970,30689,176318
139,Russia,177160,23803,1625,151732
62,France,174918,55191,25990,93737
85,Italy,215858,96276,29958,89624
23,Brazil,135773,55350,9190,71233
157,Spain,221447,128511,26070,66866
172,Turkey,133721,82984,3641,47096
133,Peru,58526,18388,1627,38511
79,India,56351,16776,1889,37686
