Series,Country,Confirmed,Recovered,Deaths,Active
173,US,1257023,195036,75662,986325
177,United Kingdom,207977,970,30689,176318
85,Italy,215858,96276,29958,89624
157,Spain,221447,128511,26070,66866
62,France,174918,55191,25990,93737
23,Brazil,135773,55350,9190,71233
16,Belgium,51420,12980,8415,30025
66,Germany,169430,141700,7392,20338
81,Iran,103135,82744,6486,13905
121,Netherlands,41973,147,5306,36520
